"First name","Second name","ID"
"BARCLAY","GOODROW",176
"BARRET","JACKMAN",177
"BARRETT","HAYTON",178
"BECKETT","SENNECKE",179
"BEN","CHIAROT",180
"BEN","HEMMERLING",181
"BEN","HUTTON",182
"BEN","JONES",183
"BEN","KING",184
"BEN","MCCARTNEY",185
"BEN","MEYERS",186
"BEN","STEEVES",187
"BEN","ZLOTY",188
"BENJAMIN","GLEASON",189
"BENJAMIN","KINDEL",190
"BENOIT","HOGUE",191
"BENOIT-OLIVIER","GROULX",192
"BERKLY","CATTON",193
"BERNIE","FEDERKO",194
"BERNIE","GEOFFRION",195
"BERNIE","NICHOLLS",196
"BILL","BARBER",197
"BILL","GUERIN",198
"BILL","LESUK",199
"BILLY","SWEEZEY",200
"BLAINE","STOUGHTON",201
"BLAKE","COLEMAN",202
"BLAKE","DUNLOP",203
"BLAKE","HILLMAN",204
"BLAKE","LIZOTTE",205
"BLAYRE","TURNBULL",206
"BO","HORVAT",207
"BOB","BAUN",208
"BOB","GAINEY",209
"BOB","KELLY",210
"BOB","MURRAY",211
"BOB","NEVIN",212
"BOB","NYSTROM",213
"BOB","PROBERT",214
"BOB","PULFORD",215
"BOB","ROUSE",216
"BOBBY","BRINK",217
"BOBBY","CARPENTER",218
"BOBBY","CLARKE",219
"BOBBY","HOLIK",220
"BOBBY","MCMANN",221
"BOBBY","SMITH",222
"BOBBY","TRIVIGNO",223
"BOGDAN","TRINEYEV",224
"BOKONDJI","IMAMA",225
"BOONE","JENNER",226
"BORIS","KATCHOUK",227
"BORJE","SALMING",228
"BOWEN","BYRAM",229
"BRAD","BOYES",230
"BRAD","GARDINER",231
"BRAD","LAMBERT",232
"BRAD","LUKOWICH",233
"BRAD","MARCHAND",234
"BRAD","MAXWELL",235
"BRAD","MAY",236
"BRAD","MCCRIMMON",237
"BRAD","PARK",238
"BRAD","RICHARDS",239
"BRADEN","HACHE",240
"BRADEN","SCHNEIDER",241
"BRADLEY","MAREK",242
"BRADLY","NADEAU",243
"BRADY","MARTIN",244
"BRADY","SKJEI",245
"BRADY","TKACHUK",246
"BRAEDEN","BOWMAN",247
"BRAEDEN","COOTES",248
"BRANDON","CARLO",249
"BRANDON","DUHAIME",250
"BRANDON","HAGEL",251
"BRANDON","HICKEY",252
"BRANDON","MONTOUR",253
"BRANDON","SAAD",254
"BRANDON","SCANLIN",255
"BRANDON","TANEV",256
"BRANDT","CLARKE",257
"BRAYDEN","MCNABB",258
"BRAYDEN","PACHAL",259
"BRAYDEN","POINT",260
"BRAYDEN","SCHENN",261
"BRENDAN","BRISSON",262
"BRENDAN","FURRY",263
"BRENDAN","GALLAGHER",264
"BRENDAN","GAUNCE",265
"BRENDAN","MORRISON",266
"BRENDAN","SHANAHAN",267
"BRENDAN","WARREN",268
"BRENDEN","DILLON",269
"BRENDEN","MORROW",270
"BRENNAN","OTHMANN",271
"BRENT","ASHTON",272
"BRENT","BURNS",273
"BRENT","GILCHRIST",274
"BRENT","GRIEVE",275
"BRENT","SEABROOK",276
"BRENT","SUTTER",277
"BRETT","BERARD",278
"BRETT","DAVIS",279
"BRETT","HARRISON",280
"BRETT","HOWDEN",281
"BRETT","HULL",282
"BRETT","KULAK",283
"BRETT","PESCE",284
"BRETT","SENEY",285
"BRIAN","BELLOWS",286
"BRIAN","BRADLEY",287
"BRIAN","CAMPBELL",288
"BRIAN","COOPER",289
"BRIAN","DUMOULIN",290
"BRIAN","ENGBLOM",291
"BRIAN","GIONTA",292
"BRIAN","HALONEN",293
"BRIAN","LEETCH",294
"BRIAN","MACLELLAN",295
"BRIAN","MCGRATTAN",296
"BRIAN","MULLEN",297
"BRIAN","O'NEILL",298
"BRIAN","PINHO",299
"BRIAN","PROPP",300
"BRIANNE","JENNER",301
"BRITTA","CURL",302
"BROC","LITTLE",303
"BROCK","BOESER",304
"BROCK","FABER",305
"BROCK","NELSON",306
"BROOKE","HOBSON",307
"BROOKE","MCQUIGGE",308
"BROOKLYN","KALMIKOV",309
"BROOKS","ORPIK",310
"BRYAN","ALLEN",311
"BRYAN","BERARD",312
"BRYAN","MARCHMENT",313
"BRYAN","MCCABE",314
"BRYAN","RUST",315
"BRYAN","TROTTIER",316
"BRYAN","YOON",317
"BRYCE","MCCONNELL-BARKER",318
"BRYCE","MONTGOMERY",319
"BRYCE","PICKFORD",320
"BRYCE","SALVADOR",321
"BUTCH","GORING",322
"C.J.","SUESS",323
"CADE","WEBBER",324
"CAEDAN","BANKIER",325
"CALE","FLEURY",326
"CALE","HULSE",327
"CALE","MAKAR",328
"CALEB","DESNOYERS",329
"CALEB","JONES",330
"CALEN","ADDISON",331
"CALLE","JARNKROK",332
"CALLE","ODELIUS",333
"CALLE","ROSEN",334
"CALLE","SJALIN",335
"CAM","DINEEN",336
"CAM","FOWLER",337
"CAM","THIESING",338
"CAM","YORK",339
"CAMERON","BUTLER",340
"CAMERON","HEBIG",341
"CAMERON","HUGHES",342
"CAMERON","SCHMIDT",343
"CAMERON","WRIGHT",344
"CARL","GRUNDSTROM",345
"CARL","GRUNDSTRÖM",346
"CARL","HAGELIN",347
"CARL","PERSSON",348
"CARLO","COLAIACOVO",349
"CARSON","BANTLE",350
"CARSON","CARELS",351
"CARSON","LAMBOS",352
"CARSON","MEYER",353
"CARSON","SOUCY",354
"CARSON","WOODALL",355
"CARTER","MAZUR",356
"CARTER","VERHAEGHE",357
"CASE","MCCARTHY",358
"CASEY","CIZIKAS",359
"CASEY","FITZGERALD",360
"CASEY","MITTELSTADT",361
"CATHERINE","DUBOIS",362
"CAVAN","FITZGERALD",363
"CAYLA","BARNES",364
"CHAD","NYCHUK",365
"CHANDLER","STEPHENSON",366
"CHARLE-EDOUARD","D'ASTOUS",367
"CHARLIE","CONACHER",368
"CHARLIE","COYLE",369
"CHARLIE","HUDDY",370
"CHARLIE","MCAVOY",371
