"First name","Second name","player_id"
"BRIAN","BELLOWS",208
"BRIAN","BRADLEY",209
"BRIAN","CAMPBELL",210
"BRIAN","DUMOULIN",211
"BRIAN","ENGBLOM",212
"BRIAN","GIONTA",213
"BRIAN","LEETCH",214
"BRIAN","MACLELLAN",215
"BRIAN","MCGRATTAN",216
"BRIAN","MULLEN",217
"BRIAN","PINHO",218
"BRIAN","PROPP",219
"BRIANNE","JENNER",220
"BRITTA","CURL",221
"BROCK","BOESER",222
"BROCK","FABER",223
"BROCK","NELSON",224
"BROOKE","HOBSON",225
"BROOKE","MCQUIGGE",226
"BROOKS","ORPIK",227
"BRYAN","ALLEN",228
"BRYAN","BERARD",229
"BRYAN","MARCHMENT",230
"BRYAN","MCCABE",231
"BRYAN","RUST",232
"BRYAN","TROTTIER",233
"BRYAN","YOON",234
"BRYCE","MCCONNELL-BARKER",235
"BRYCE","MONTGOMERY",236
"BRYCE","SALVADOR",237
"BUTCH","GORING",238
"C.J.","SUESS",239
"CAEDAN","BANKIER",240
"CALE","FLEURY",241
"CALE","HULSE",242
"CALE","MAKAR",243
"CALLE","JARNKROK",244
"CALLE","ODELIUS",245
"CALLE","ROSEN",246
"CAM","DINEEN",247
"CAM","FOWLER",248
"CAM","THIESING",249
"CAM","YORK",250
"CAMERON","BUTLER",251
"CAMERON","WRIGHT",252
"CARL","GRUNDSTROM",253
"CARL","GRUNDSTRÖM",254
"CARL","HAGELIN",255
"CARLO","COLAIACOVO",256
"CARSON","BANTLE",257
"CARSON","LAMBOS",258
"CARSON","SOUCY",259
"CARTER","MAZUR",260
"CARTER","VERHAEGHE",261
"CASE","MCCARTHY",262
"CASEY","CIZIKAS",263
"CASEY","FITZGERALD",264
"CASEY","MITTELSTADT",265
"CATHERINE","DUBOIS",266
"CAYLA","BARNES",267
"CHANDLER","STEPHENSON",268
"CHARLIE","CONACHER",269
"CHARLIE","COYLE",270
"CHARLIE","HUDDY",271
"CHARLIE","MCAVOY",272
"CHARLIE","SIMMER",273
"CHARLIE","WRIGHT",274
"CHASE","BRADLEY",275
"CHASE","STILLMAN",276
"CHASE","WOUTERS",277
"CHLOÉ","AURARD",278
"CHRIS","CHELIOS",279
"CHRIS","CLARK",280
"CHRIS","KREIDER",281
"CHRIS","KUNITZ",282
"CHRIS","NILAN",283
"CHRIS","PHILLIPS",284
"CHRIS","PRONGER",285
"CHRIS","TERRY",286
"CHRIS","THORBURN",287
"CHRISTIAN","DVORAK",288
"CHRISTIAN","JAROS",289
"CHRISTIAN","WOLANIN",290
"CHRISTOFFER","SEDOFF",291
"CHRISTOPH","BRANDNER",292
"CHRISTOPHER","TANEV",293
"CHUCK","KOBASEW",294
"CHUCK","LEFLEY",295
"CLAIR","DEGEORGE",296
"CLAIRE","BUTORAC",297
"CLAIRE","DALTON",298
"CLAIRE","THOMPSON",299
"CLARK","BISHOP",300
"CLARK","GILLIES",301
"CLAUDE","GIROUX",302
"CLAUDE","LEMIEUX",303
"CLAYTON","KELLER",304
"CLIFF","KOROLL",305
"CODY","CECI",306
"CODY","GLASS",307
"COLE","CAUFIELD",308
"COLE","KOEPKE",309
"COLE","MCWARD",310
"COLE","PERFETTI",311
"COLE","REINHARDT",312
"COLE","SCHWINDT",313
"COLE","SILLINGER",314
"COLE","SMITH",315
"COLIN","BLACKWELL",316
"COLIN","FRASER",317
"COLIN","MILLER",318
"COLIN","PATTERSON",319
"COLIN","UGBEKILE",320
"COLIN","WHITE",321
"COLIN","WILSON",322
"COLLIN","GRAF",323
"COLTON","DACH",324
"COLTON","PARAYKO",325
"COLTON","SISSONS",326
"CONNOR","BEDARD",327
"CONNOR","BROWN",328
"CONNOR","CLIFTON",329
"CONNOR","DEWAR",330
"CONNOR","MACKEY",331
"CONNOR","MCDAVID",332
"CONNOR","MCMICHAEL",333
"CONNOR","MURPHY",334
"CONNOR","ZARY",335
"CONOR","GARLAND",336
"CONOR","GEEKIE",337
"COOPER","MARODY",338
"COOPER","WALKER",339
"COREY","PERRY",340
"CORSON","CEULEMANS",341
"CORY","CROSS",342
"CORY","SARICH",343
"CRAIG","HARTSBURG",344
"CRAIG","LAUGHLIN",345
"CRAIG","LUDWIG",346
"CRAIG","MACTAVISH",347
"CRAIG","SIMPSON",348
"CURTIS","GLENCROSS",349
"CURTIS","LAZAR",350
"CURTIS","LESCHYSHYN",351
"CUTTER","GAUTHIER",352
"DAEMON","HUNT",353
"DAINIUS","ZUBRUS",354
"DAKOTA","JOSHUA",355
"DALE","HAWERCHUK",356
"DALIBOR","DVORSKY",357
"DALLAS","SMITH",358
"DALTON","SMITH",359
"DAMON","SEVERSON",360
"DAN","BOYLE",361
"DAN","GIRARDI",362
"DAN","HINOTE",363
"DAN","KECZMER",364
"DAN","QUINN",365
"DANA","MURZYN",366
"DANIEL","ALFREDSSON",367
"DANIEL","BRIERE",368
"DANIEL","D'AMATO",369
"DANIEL","PAILLE",370
"DANIEL","SEDIN",371
"DANIELLE","SERDACHNY",372
"DANIIL","MIROMANOV",373
"DANILA","KLIMOVICH",374
"DANNY","GARE",375
"DANNY","GRANT",376
"DANTE","FABBRO",377
"DANTON","HEINEN",378
"DANY","HEATLEY",379
"DARA","GREIG",380
"DARCY","TUCKER",381
"DARIUS","KASPARAITIS",382
"DARNELL","NURSE",383
"DARREN","LANGDON",384
"DARREN","MCCARTY",385
"DARREN","RADDYSH",386
"DARREN","TURCOTTE",387
"DARRYL","SITTLER",388
"DARRYL","SUTTER",389
"DARYL","WATTS",390
"DAVE","ANDREYCHUK",391
"DAVE","BABYCH",392
"DAVE","ELLETT",393
"DAVE","HUNTER",394
"DAVE","KEON",395
"DAVE","LANGEVIN",396
"DAVE","LUMLEY",397
"DAVE","SCHULTZ",398
"DAVE","TAYLOR",399
"DAVID","BACKES",400
"DAVID","BOOTH",401
"DAVID","GOYETTE",402
"DAVID","GUSTAFSSON",403
"DAVID","JIRICEK",404
"DAVID","JONES",405
"DAVID","KAMPF",406
"DAVID","PASTRNAK",407
"DAVID","PERRON",408
"DAVID","SPACEK",409
"DAWSON","BARTEAUX",410
"DAWSON","MERCER",411
"DAYLAN","KUEFLER",412
"DEAN","PRENTICE",413
"DECLAN","CHISHOLM",414
"DENI","GOURE",415
"DENIS","POTVIN",416
"DENIS","SAVARD",417
"DENNIS","CESANA",418
"DENNIS","CHOLOWSKI",419
"DENNIS","GILBERT",420
"DENNIS","HEXTALL",421
"DENNIS","HULL",422
"DENNIS","KEARNS",423
"DENNIS","MARUK",424
"DENTON","MATEYCHUK",425
"DEREK","FORBORT",426
"DEREK","KING",427
"DEREK","PLANTE",428
"DEREK","ROY",429
"DERRICK","POULIOT",430
"DERYK","ENGELLAND",431
"DEVON","TOEWS",432
"DICK","DUFF",433
"DIMITRY","AFANASENKOV",434
"DINO","KAMBEITZ",435
"DJIBRIL","TOURE",436
"DMITRI","MIRONOV",437
"DMITRI","VORONKOV",438
"DMITRY","KULIKOV",439
"DMITRY","ORLOV",440
"DOMENICK","FENSORE",441
"DOMINIC","MOORE",442
"DOMINIC","TONINATO",443
"DOMINIK","SHINE",444
"DOMINIQUE","PETRIE",445
"DON","LUCE",446
"DON","MARCOTTE",447
"DONALD","AUDETTE",448
"DONALD","AWREY",449
"DONOVAN","SEBRANGO",450
"DOUG","BODGER",451
"DOUG","CROSSMAN",452
"DOUG","GILMOUR",453
"DOUG","JARVIS",454
"DOUG","LIDSTER",455
"DOUG","RISEBROUGH",456
"DOUG","WEIGHT",457
"DOUGIE","HAMILTON",458
"DOUGLAS","BROWN",459
"DOUGLAS","MURRAY",460
"DRAKE","BATHERSON",461
"DREW","BAVARO",462
"DREW","DOUGHTY",463
"DREW","HELLESON",464
"DREW","O'CONNOR",465
"DRYDEN","HUNT",466
"DUANE","SUTTER",467
"DUSTIN","BROWN",468
